,date,type
921,2018-10-20,holiday
922,2018-10-21,holiday
923,2018-10-27,holiday
924,2018-10-28,holiday
925,2018-11-03,holiday
926,2018-11-04,holiday
927,2018-11-05,holiday
928,2018-11-10,holiday
929,2018-11-11,holiday
930,2018-11-17,holiday
931,2018-11-18,holiday
932,2018-11-24,holiday
933,2018-11-25,holiday
934,2018-12-01,holiday
935,2018-12-02,holiday
936,2018-12-08,holiday
937,2018-12-09,holiday
938,2018-12-15,holiday
939,2018-12-16,holiday
940,2018-12-22,holiday
941,2018-12-23,holiday
942,2018-12-30,holiday
943,2018-12-31,holiday
944,2019-01-01,holiday
945,2019-01-02,holiday
946,2019-01-03,holiday
947,2019-01-04,holiday
948,2019-01-05,holiday
949,2019-01-06,holiday
950,2019-01-07,holiday
951,2019-01-08,holiday
952,2019-01-12,holiday
953,2019-01-13,holiday
954,2019-01-19,holiday
955,2019-01-20,holiday
956,2019-01-26,holiday
957,2019-01-27,holiday
958,2019-02-02,holiday
959,2019-02-03,holiday
960,2019-02-09,holiday
961,2019-02-10,holiday
962,2019-02-16,holiday
963,2019-02-17,holiday
964,2019-02-23,holiday
965,2019-02-24,holiday
966,2019-03-02,holiday
967,2019-03-03,holiday
968,2019-03-08,holiday
969,2019-03-09,holiday
970,2019-03-10,holiday
971,2019-03-16,holiday
972,2019-03-17,holiday
973,2019-03-23,holiday
974,2019-03-24,holiday
975,2019-03-30,holiday
976,2019-03-31,holiday
977,2019-04-06,holiday
978,2019-04-07,holiday
979,2019-04-13,holiday
980,2019-04-14,holiday
981,2019-04-20,holiday
982,2019-04-21,holiday
983,2019-04-27,holiday
984,2019-04-28,holiday
985,2019-05-01,holiday
986,2019-05-02,holiday
987,2019-05-03,holiday
988,2019-05-04,holiday
989,2019-05-05,holiday
990,2019-05-09,holiday
991,2019-05-10,holiday
992,2019-05-11,holiday
993,2019-05-12,holiday
994,2019-05-18,holiday
995,2019-05-19,holiday
996,2019-05-25,holiday
997,2019-05-26,holiday
998,2019-06-01,holiday
999,2019-06-02,holiday
1000,2019-06-08,holiday
1001,2019-06-09,holiday
1002,2019-06-12,holiday
1003,2019-06-15,holiday
1004,2019-06-16,holiday
1005,2019-06-22,holiday
1006,2019-06-23,holiday
1007,2019-06-29,holiday
1008,2019-06-30,holiday
1009,2019-07-06,holiday
1010,2019-07-07,holiday
1011,2019-07-13,holiday
1012,2019-07-14,holiday
1013,2019-07-20,holiday
1014,2019-07-21,holiday
1015,2019-07-27,holiday
1016,2019-07-28,holiday
1017,2019-08-03,holiday
1018,2019-08-04,holiday
1019,2019-08-10,holiday
1020,2019-08-11,holiday
1021,2019-08-17,holiday
1022,2019-08-18,holiday
1023,2019-08-24,holiday
1024,2019-08-25,holiday
1025,2019-08-31,holiday
1026,2019-09-01,holiday
1027,2019-09-07,holiday
1028,2019-09-08,holiday
1029,2019-09-14,holiday
1030,2019-09-15,holiday
1031,2019-09-21,holiday
1032,2019-09-22,holiday
1033,2019-09-28,holiday
1034,2019-09-29,holiday
1035,2019-10-05,holiday
1036,2019-10-06,holiday
1037,2019-10-12,holiday
1038,2019-10-13,holiday
1039,2019-10-19,holiday
1040,2019-10-20,holiday
1041,2019-10-26,holiday
1042,2019-10-27,holiday
1043,2019-11-02,holiday
1044,2019-11-03,holiday
1045,2019-11-04,holiday
1046,2019-11-09,holiday
1047,2019-11-10,holiday
1048,2019-11-16,holiday
1049,2019-11-17,holiday
1050,2019-11-23,holiday
1051,2019-11-24,holiday
1052,2019-11-30,holiday
1053,2019-12-01,holiday
1054,2019-12-07,holiday
1055,2019-12-08,holiday
1056,2019-12-14,holiday
1057,2019-12-15,holiday
1058,2019-12-21,holiday
1059,2019-12-22,holiday
1060,2019-12-28,holiday
1061,2019-12-29,holiday
1062,2020-01-01,holiday
1063,2020-01-02,holiday
1064,2020-01-03,holiday
1065,2020-01-04,holiday
1066,2020-01-05,holiday
1067,2020-01-06,holiday
1068,2020-01-07,holiday
